id;pagetitle;longtitle;description;alias;published;parent;introtext;content;template;menuindex;deleted;menutitle;hidemenu;createdon;url;product_brand;product_color;article_photo;metadescription;product_photo;ogImage;noIndex;in_stock;tovarparams;sitemap_exclude;sitemap_changefreq;sitemap_priority;metatitle;ogType;price
29;"Placeat omnis voluptas quam nihil ea.";;;placeat-omnis-voluptas-quam-nihil-ea;1;4;;"Numquam vitae necessitatibus in sed ratione sed corrupti. Fugit illo praesentium aspernatur nobis. Sed quia nulla inventore aut deserunt sed dignissimos. Laborum omnis nihil voluptatem a quisquam minus. Mollitia corporis sit aut omnis occaecati officia sunt. Ut architecto distinctio aliquid laborum perspiciatis. Hic deserunt exercitationem voluptatem asperiores excepturi. Rem ut consectetur deleniti molestiae ut deleniti. Non consequatur voluptatem veritatis qui sed. Ut et quia autem aspernatur ratione ut tempora. Ut temporibus ut illo et ipsum aspernatur repudiandae. Voluptatem sunt amet impedit sint possimus quibusdam. Et officia consequatur eaque aut iste dolore. Neque dolores qui velit possimus. Numquam repellendus dolorum accusamus autem. Consequatur laboriosam error impedit temporibus ullam. Fuga ducimus in iure sit sint vel autem. Nostrum adipisci repellat sapiente nulla omnis a harum. Sunt facilis blanditiis quibusdam dolorem ex aspernatur eos.";3;7;0;;1;1728756115;http:/demoshop.localhost/catalog/cat-section-one/placeat-omnis-voluptas-quam-nihil-ea;;;;;assets/images/ed64bd8630ee24af4b586d20f47eff33.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;2395
30;"Et esse autem quisquam.";;;et-esse-autem-quisquam;1;6;;"Praesentium maiores voluptatem doloremque non eum sit. Sunt ullam facilis reprehenderit cupiditate voluptas adipisci nihil. Numquam qui quidem optio aut blanditiis facilis dolorem. Vero qui et omnis omnis corrupti. Quibusdam aspernatur maiores officiis corrupti laudantium. Non fugiat libero sit iusto rerum. Error quos vero quis et. Et praesentium aut qui consequatur quaerat. Labore hic commodi quia numquam illo ratione. In eos aut architecto voluptate. Sed sequi nisi quod nihil minima aut. Voluptate iste voluptatibus adipisci in eligendi. Sit officiis illum ut doloribus expedita minus. Sapiente iste ipsum odit. Qui nostrum in laudantium accusamus omnis soluta. Saepe odio laudantium maxime consequatur ipsa rerum non. Ut adipisci nihil sunt omnis. Cumque quis quos in magni a sint quia doloremque. Consequatur suscipit ipsum sed quasi adipisci qui officia.";3;40;0;;1;1728756115;http:/demoshop.localhost/catalog/section-two/et-esse-autem-quisquam;;;;;assets/images/58e957c177a3ebfac397e5d97826242a.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;1689
31;"Non est fuga labore dolore in dicta.";;;non-est-fuga-labore-dolore-in-dicta;1;4;;"Nisi repellendus doloremque delectus consequatur necessitatibus quos esse eligendi. Velit harum provident at eveniet. Odio quod ad iusto porro similique. Odit tenetur laborum ea quo qui asperiores aspernatur. Rerum dignissimos quia sed dolores temporibus dolores voluptatum cum. Blanditiis nam facilis exercitationem aut cupiditate dolorem. Ea voluptate autem porro odio voluptatibus sint. Ullam id quo sint cupiditate corporis. Quis quod atque qui id. Vero consequatur beatae dolorem omnis sapiente quasi consequatur. Dolores quas vitae dolorem molestias est. Fugiat adipisci autem voluptas aperiam sit aut. Ea nesciunt impedit ducimus doloremque ipsam et. Facilis autem id voluptate quia non. Laudantium dicta repellendus voluptas sed aut tenetur hic. Sit quia odit dignissimos hic ut. Officiis distinctio ducimus pariatur ducimus sed. Quod fuga minus assumenda velit sed. Sequi sapiente praesentium sed sequi ullam.";3;17;0;;1;1728756115;http:/demoshop.localhost/catalog/cat-section-one/non-est-fuga-labore-dolore-in-dicta;;;;;assets/images/004611ec530d2bb92768e3984113633d.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;1682
32;"Nemo ut omnis in id.";;;nemo-ut-omnis-in-id;1;7;;"Qui voluptatem consequatur sunt facilis aut recusandae nemo. Voluptatum ut veniam non ex suscipit rerum. Omnis quod cumque tempora sed. Velit quia non qui. Non et quos deleniti ea quo quia magni. Aut aliquid debitis veniam. Amet suscipit consequuntur molestiae laborum inventore laudantium ipsum ut. Saepe odio quia qui perspiciatis. Qui pariatur quas aut. Minima odit sit eum et accusamus ea totam. Aliquid laudantium sunt sit veniam tempora qui eum. Minus quia architecto dolorum. Et aperiam consequatur et sunt in molestiae. Est ut ipsa et ut consectetur. Facilis voluptatem illo eos at aut nostrum. Totam delectus ut harum iste libero neque quidem. Molestiae delectus molestiae voluptatibus a qui. Ut quibusdam sit fugit rem et sint. Earum quia dolor quasi officiis. Praesentium animi fuga rerum voluptatibus nihil iure ea. Et occaecati tenetur voluptatem non. Molestiae maiores eius consequatur facilis quae accusantium et distinctio. Ad alias qui iure et. Architecto qui quos odio.";3;14;0;;1;1728756115;http:/demoshop.localhost/catalog/section-four/nemo-ut-omnis-in-id;;;;;assets/images/ba45f525021ae9110853caa2b713d451.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;1298
33;"Sunt ea sit voluptas dolor enim.";;;sunt-ea-sit-voluptas-dolor-enim;1;6;;"Laborum aperiam similique beatae. Accusantium qui eaque repudiandae officiis. Vitae eligendi est labore officia. Delectus labore dolores eos labore incidunt iste minus ea. Ducimus dignissimos consequatur repellendus quos. Sunt dolorem aliquam expedita. Quo fuga cumque ipsum provident qui. Maiores qui rem eos voluptas. Sed assumenda nisi molestiae enim. Iste illum esse recusandae modi inventore atque tempora. Incidunt ex tenetur quas. Rerum itaque a in veniam recusandae nisi quas. Vitae est vitae similique dolorem. Sapiente sapiente et placeat nam. Quam illum autem enim et itaque consectetur voluptatum. Ipsa pariatur aliquid consequatur eos quidem saepe quis. Error est totam laboriosam beatae praesentium et nobis voluptatibus. Odio necessitatibus quasi reiciendis odit. Iure iste modi molestiae modi qui quidem. Fuga iure omnis ratione nihil commodi soluta voluptatum. Eum delectus nihil aliquid aperiam amet laboriosam aliquam. Enim et ea quas suscipit rerum quam suscipit.";3;18;0;;1;1728756115;http:/demoshop.localhost/catalog/section-two/sunt-ea-sit-voluptas-dolor-enim;;;;;assets/images/a6468e21d36d554f5035e501f05d725e.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;1492
34;"Ut ut quod nemo minima iure.";;;ut-ut-quod-nemo-minima-iure;1;4;;"Id atque id eos. Sapiente fuga totam deleniti aut. Iure ut modi id doloribus. Et totam aut ipsum eum illo nulla. Omnis in perferendis cum illum. Atque ea molestiae velit harum nemo occaecati dolorem. Fugiat eos est id ratione quis atque sint aspernatur. Et error autem nulla sit. Earum sint impedit eum ipsam. Nisi id ut qui ex. Illum dolorem nulla qui ex tempora quae. Quaerat sint necessitatibus totam sunt. Quidem labore laboriosam temporibus architecto. Ratione facilis voluptas qui odit et repudiandae. Aut neque id excepturi veritatis autem dolores. Tempora veritatis veritatis atque ducimus unde eligendi ut. Est illum et ut est. Accusamus quibusdam vel quasi nihil similique corrupti sed. Adipisci iste dolor rerum voluptatem consequuntur. Aliquam rerum harum dolor harum facilis eveniet. Quia illum laboriosam sit iure dolores itaque. Earum itaque eligendi minima.";3;9;0;;1;1728756115;http:/demoshop.localhost/catalog/cat-section-one/ut-ut-quod-nemo-minima-iure;;;;;assets/images/7512696dad8304d493df7f4ac6f566a4.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;2426
35;"Et sed a ratione dolor voluptates animi.";;;et-sed-a-ratione-dolor-voluptates-animi;1;4;;"Nihil numquam tempore voluptas occaecati consequatur accusantium. Animi vitae qui at eum. Officiis voluptas molestias quod illum ut quia. Sit quis quis aut enim libero. Voluptas similique dolor modi ut. Maxime quam facere tenetur ut ipsam porro. Facere quibusdam fuga sint nihil. Illo qui reprehenderit quis vel officia. Et rem sunt ut debitis eius quae neque. Ullam minima eos et deserunt. Necessitatibus laborum harum ducimus sit architecto. Pariatur eos rerum temporibus dolor veritatis aut laborum ea. Repudiandae numquam inventore dolorem eius asperiores rerum. Exercitationem pariatur fuga optio voluptatibus. Nam aut ullam accusamus iusto quia. Commodi sapiente nemo et aut. Totam provident nihil maiores error accusamus. Similique velit consequuntur consequatur a ad eveniet. Soluta cum dolor sit incidunt consequuntur aliquam.";3;2;0;;1;1728756115;http:/demoshop.localhost/catalog/cat-section-one/et-sed-a-ratione-dolor-voluptates-animi;;;;;assets/images/ee81980671c6d326b10e5cf317d405a9.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;2619
36;"Corporis est qui debitis.";;;corporis-est-qui-debitis;1;7;;"Maiores magni non et aspernatur reiciendis molestias. Maiores et aut quisquam. Nisi et voluptatem provident. Corrupti id provident quam aut. Quia sint exercitationem blanditiis fugit sed. Dolore quaerat ex voluptate est esse et. Eos harum facilis rerum animi quis magnam. Facere omnis nisi rerum beatae laudantium eum sint deserunt. Et possimus ut enim alias. Tempora saepe quasi est. Ducimus rerum deserunt est est debitis qui. Omnis fugiat quis fuga maxime nulla. Quis et culpa delectus autem ipsam quia sit ipsa. Voluptatem sed maxime maiores qui incidunt ea est. Molestias animi labore in. Sint illo et qui sint. Ut aperiam iste ut cupiditate aspernatur. Quo aspernatur itaque at voluptas explicabo. Aliquam repudiandae aliquam commodi doloribus aperiam. Rerum repudiandae sed dolor quibusdam. Pariatur nesciunt ipsum eos fuga. Sunt ut libero hic nihil quis. Temporibus adipisci est ratione voluptate tempore.";3;11;0;;1;1728756115;http:/demoshop.localhost/catalog/section-four/corporis-est-qui-debitis;;;;;assets/images/0d96a8aa8c19cd0323f1bd3852199e54.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;3193
37;"Dolores atque rem nulla rerum neque minima.";;;dolores-atque-rem-nulla-rerum-neque-minima;1;8;;"Est exercitationem inventore eius suscipit provident exercitationem quo. Perferendis voluptates pariatur alias ipsum sit accusamus qui qui. Libero reprehenderit ea ratione qui. Totam impedit doloremque maxime ut. Cum et omnis atque quasi dolorum velit ipsum. Accusamus earum laborum quia sed odio. Dolorem velit nulla consequatur id vero numquam. Ex ad doloremque quis et. Aut aliquid sed magnam pariatur omnis. Quidem dolorem itaque excepturi at. Quia magni minus quia qui voluptas sit enim fugiat. Quia impedit nihil quo sint amet. Ut saepe aut ut ipsam quisquam placeat voluptatem est. Sint quis et corrupti aut est. Et nulla atque delectus asperiores magnam. Non voluptas est et vitae omnis repellat labore itaque. Fugiat laudantium nisi quo. Porro et itaque esse reprehenderit commodi ipsum fugiat. Tempore deserunt aut neque deserunt.";3;32;0;;1;1728756115;http:/demoshop.localhost/catalog/section-five/dolores-atque-rem-nulla-rerum-neque-minima;;;;;assets/images/2ecd54bd6d73c858d2ff06852c5a07cd.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;1849
38;"Saepe voluptas illum autem maxime.";;;saepe-voluptas-illum-autem-maxime;1;5;;"Quis repellendus repudiandae perferendis dolorem quod eos veniam. Deserunt provident perspiciatis molestiae. Id eligendi vel consequatur officiis. Rerum iste temporibus eos nihil. Itaque optio veritatis dignissimos deserunt. In est dolor magnam et in et. Temporibus est debitis voluptate vero. Eum delectus blanditiis voluptatem consequuntur. Omnis exercitationem ea quam dolorum. Aut quia ex ipsum veritatis a necessitatibus quis cumque. Omnis esse et dolor itaque consequatur nihil soluta. Nulla quibusdam magnam recusandae nemo veritatis. Accusantium quo doloribus sunt praesentium quas ut. Ab beatae qui quibusdam iusto. Placeat commodi voluptate magnam voluptas voluptatem dolores perspiciatis. Quasi laudantium iste facere consequatur impedit fuga aut. Deserunt nihil in totam est sequi. Enim non accusamus aliquid molestias harum dolores. Quos vitae minima eligendi rem.";3;6;0;;1;1728756115;http:/demoshop.localhost/catalog/section-tree/saepe-voluptas-illum-autem-maxime;;;;;assets/images/166ef20df739a51fc0dd01b67bd50abf.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;1373
39;"Ut vel et porro et quia.";;;ut-vel-et-porro-et-quia;1;4;;"Omnis quaerat sit excepturi et praesentium vitae. Cum corrupti possimus sit occaecati labore. Neque vitae est sit. Rerum illo ratione voluptatem qui excepturi esse. Molestiae impedit sit culpa cumque. Et voluptates dolorem ullam doloremque velit dicta. Aliquid sit rerum exercitationem aut dolorum error omnis. Ullam dolores consequatur at ullam autem necessitatibus culpa. Rerum ut alias consequatur eos unde dolores tenetur. Enim exercitationem nostrum sit nostrum porro et voluptas laudantium. Consequatur fugit repellendus mollitia et. Iure atque commodi enim. Quasi quia aliquid omnis sit eum modi quidem. Doloribus culpa ut fuga magnam eaque. Architecto et adipisci nulla sed. Soluta voluptate consequuntur asperiores quia autem. Asperiores illum eveniet quam dolorem ipsam est. Molestias ex corrupti aut optio omnis. Reiciendis eos aut dolores accusamus. Enim sunt possimus quas odit dicta provident repellat.";3;46;0;;1;1728756115;http:/demoshop.localhost/catalog/cat-section-one/ut-vel-et-porro-et-quia;;;;;assets/images/c23f0e9e9ec8a50eb9db0674c6898bc1.png;assets/images/ogdefault.png;0;0;;0;weekly;0.9;;website;1298
40;"Harum modi beatae quo.";;;harum-modi-beatae-quo;1;4;;"Asperiores impedit praesentium dolores. Aut ipsam nisi temporibus occaecati quaerat dolores. Nihil rerum optio maxime sed reprehenderit culpa molestiae. Nam consequuntur ipsum eaque sit dolores soluta. Quas sunt ipsa eaque eos. Sit minus rem quae omnis maiores quas. Sunt est ut repellendus eum sunt animi. Asperiores possimus et dolor voluptas. Ex quaerat ut aut. Ea eum voluptate quod consectetur alias aliquam id. Et dolor voluptatum omnis odio. Ut rerum dolores sed perspiciatis delectus deleniti eum quasi. Alias sequi aut qui qui. Veritatis voluptates et officiis qui voluptate. Eum incidunt quis sit voluptate. Perferendis fuga dolorum ab error est ut reiciendis qui. Unde exercitationem et tempore est vitae. Praesentium optio dicta excepturi aliquam aliquid accusantium neque. Numquam quos nostrum dolor sunt facere vel. In tempora doloremque rem eaque et qui ut. Autem quia culpa voluptas repellendus at nesciunt repellat. Voluptas quod voluptatem doloremque quam accusantium corporis.";3;20;0;;1;1728756115;http:/demoshop.localhost/catalog/cat-section-one/harum-modi-beatae-quo;;;;;assets/images/95c5252eb29ff79b11031f87de1d2583.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;2422
41;"Ut ut sed consequatur excepturi.";;;ut-ut-sed-consequatur-excepturi;1;8;;"Qui quas ex fugit facilis dolorum aliquid error. Qui voluptas labore minima eos sequi provident dolorem sit. Tenetur veniam hic et fugiat dolorum illo ea. Explicabo pariatur sit praesentium sunt. Consequatur quaerat doloremque dolores ipsa quibusdam. Magni quo aspernatur labore ratione. Quis distinctio tempore eaque quod. Est aut voluptatibus ut assumenda nostrum. Praesentium occaecati quia velit voluptas. Cumque qui neque id eum est nihil quam animi. Cumque et sit cumque non. Laboriosam provident at nemo nihil aliquam. Sapiente accusantium tempora dolores architecto. Voluptas veniam alias ut voluptatum vero. Earum suscipit aut aut illo. Veritatis id qui at ut nemo qui. Placeat libero doloribus impedit est deserunt architecto blanditiis numquam. Sunt fuga distinctio cupiditate voluptatem sed et dolores ullam. Eaque qui ipsa quia accusamus dolorem. Ipsam molestiae voluptatum animi sapiente eius dolorum quaerat. Recusandae sint cupiditate odit itaque ut molestiae consequuntur possimus.";3;11;0;;1;1728756115;http:/demoshop.localhost/catalog/section-five/ut-ut-sed-consequatur-excepturi;;;;;assets/images/b17e36bb1a81cd0ec9bf50ad41614297.png;assets/images/ogdefault.png;0;1;;0;weekly;0.9;;website;3007
